N,P,K,pH,temp,humidity,rainfall,crop
10,4,9,6,27,67,612,walnuts  
7,10,25,6,29,44,995,walnuts 
12,2,18,6,29,70,902,walnuts 
25,1,21,7,21,65,734,walnuts 
23,9,14,6,28,67,981,walnuts 
12,10,14,6,30,40,681,walnuts
25,1,13,6,29,63,724,walnuts 
13,7,5,6,30,59,842,walnuts  
10,9,13,6,28,58,939,walnuts 
20,6,21,7,28,53,680,walnuts 
13,4,7,6,23,49,953,walnuts
13,8,17,7,22,61,982,walnuts
24,2,22,6,26,52,796,walnuts
15,2,18,7,30,50,744,walnuts
25,7,10,7,29,64,699,walnuts
14,4,15,7,28,52,964,cherries
11,5,7,7,29,61,935,cherries
11,2,20,7,29,80,614,cherries
24,3,10,6,21,65,697,cherries
23,0,21,6,25,51,857,cherries
14,2,19,6,20,51,716,cherries
9,0,12,7,21,79,600,cherries
8,7,23,6,12,56,784,cherries
21,10,5,6,7,62,674,cherries
23,8,6,7,30,53,875,cherries
19,9,5,6,17,58,707,cherries
18,6,15,6,15,62,862,cherries
8,7,24,6,13,53,616,cherries
9,2,22,7,22,67,842,cherries
25,4,18,6,21,72,703,cherries
14,3,14,6,20,66,617,pears
14,6,9,7,25,56,721,pears 
20,5,6,7,25,50,784,pears 
25,5,9,7,15,58,623,pears 
13,3,6,7,24,63,686,pears 
7,5,2,7,21,67,725,pears 
25,6,13,7,20,54,638,pears
12,3,22,6,24,64,715,pears
5,4,17,7,18,62,746,pears 
17,4,23,7,18,67,748,pears
6,3,16,7,16,64,758,pears
14,5,18,6,24,56,671,pears
19,9,14,6,23,59,611,pears
24,6,24,6,24,55,675,pears
14,6,24,7,21,60,691,pears
41,46,41,6,31,73,1638,papaya
42,42,47,7,27,76,1750,papaya
49,50,50,7,29,70,1897,papaya
43,43,42,6,28,85,1773,papaya
43,42,49,6,28,78,1380,papaya
41,41,46,7,30,64,1400,papaya
48,44,40,6,27,82,1520,papaya
48,48,48,6,32,66,1587,papaya
40,44,43,6,30,89,1461,papaya
43,42,41,6,27,73,1705,papaya
44,40,50,6,30,77,1463,papaya
46,46,41,6,25,73,1854,papaya
44,50,46,6,31,82,1374,papaya
47,43,41,7,30,65,1419,papaya
45,45,42,7,32,75,1168,papaya
50,43,50,6,20,62,1107,guava
42,40,50,6,28,60,1530,guava
44,45,48,6,26,78,1072,guava
42,48,47,5,31,81,1560,guava
40,41,40,6,22,65,1642,guava
44,44,45,6,29,85,1180,guava
50,43,50,5,21,66,1222,guava
40,41,44,5,27,84,1090,guava
50,42,47,5,31,65,1678,guava
44,50,43,6,32,60,1414,guava
46,42,49,5,30,73,1535,guava
44,50,48,6,21,82,1173,guava
44,50,40,6,30,73,1233,guava
47,49,45,5,22,69,1869,guava
40,41,48,5,20,76,1870,guava
20,14,26,5,25,79,779,mango 
13,21,29,5,27,74,879,mango 
19,29,24,5,29,75,1439,mango
18,12,30,5,30,55,772,mango 
11,26,35,5,25,64,795,mango 
28,20,27,6,29,80,1468,mango
13,16,38,6,28,66,1211,mango
24,12,40,6,24,67,967,mango 
25,24,33,5,30,50,1131,mango
15,11,21,6,26,61,760,mango 
21,17,21,5,25,52,1244,mango
29,25,40,5,27,73,940,mango
29,17,29,5,26,63,1169,mango
21,26,21,5,28,76,1216,mango
24,30,20,5,24,58,808,mango
41,55,34,6,14,80,325,apricots
50,49,32,7,23,54,386,apricots
44,53,34,7,14,80,344,apricots
46,60,15,7,9,75,519,apricots
34,51,16,7,19,71,534,apricots
47,60,27,6,19,52,572,apricots
39,47,18,7,11,69,522,apricots
32,57,22,7,19,53,309,apricots
31,60,20,7,17,74,585,apricots
39,58,24,6,21,79,350,apricots
35,58,30,6,17,52,578,apricots
31,55,20,7,8,71,496,apricots
38,58,23,7,8,70,484,apricots
50,57,18,6,18,51,501,apricots
33,58,23,7,10,61,424,apricots
27,131,204,6,22,75,648,apples
24,119,194,6,24,75,738,apples
29,126,203,6,14,77,647,apples
29,115,209,7,13,74,708,apples
22,118,196,6,9,79,736,apples 
10,130,197,6,23,54,760,apples
12,123,201,6,19,53,623,apples
29,115,207,6,9,57,716,apples 
25,127,191,7,23,77,638,apples
12,120,198,6,10,58,727,apples
21,135,205,7,20,64,732,apples
28,132,206,7,11,51,714,apples
16,124,191,6,17,65,783,apples
30,135,191,6,9,58,635,apples
11,120,191,7,21,75,652,apples
79,28,12,6,27,43,520,almonds
70,18,9,7,28,56,315,almonds
75,22,14,7,18,55,484,almonds
71,18,9,6,16,63,437,almonds
77,26,15,6,25,60,589,almonds
77,27,7,7,15,54,410,almonds
70,17,25,7,17,57,367,almonds
62,13,9,7,30,43,537,almonds
71,28,20,7,21,48,553,almonds
65,16,6,7,19,64,446,almonds
62,10,7,7,30,45,300,almonds
70,12,9,6,24,67,515,almonds
63,19,25,6,27,45,423,almonds
61,10,7,6,25,41,375,almonds
78,13,22,6,16,56,506,almonds
22,10,20,6,24,55,620,citrus
40,21,13,6,30,64,893,citrus
34,8,11,7,30,58,808,citrus
36,13,16,7,23,66,881,citrus
34,25,10,7,28,52,942,citrus
40,18,15,7,20,68,902,citrus
40,9,13,7,29,55,734,citrus
30,12,20,7,28,63,642,citrus
40,10,18,7,21,61,625,citrus
36,8,27,6,24,56,855,citrus
37,8,17,6,19,53,742,citrus
21,23,25,7,28,70,653,citrus
35,20,14,6,16,51,744,citrus
31,15,30,7,18,57,859,citrus
33,7,10,7,18,50,806,citrus
11,22,13,7,25,79,1406,litchi
9,19,25,6,32,73,1467,litchi
14,24,21,6,27,58,1650,litchi
20,11,13,6,22,71,1544,litchi
16,19,20,7,32,72,1486,litchi
19,5,22,6,23,58,1063,litchi
20,12,13,7,31,55,1463,litchi
8,10,23,7,29,71,1419,litchi
9,15,17,7,28,62,1389,litchi
18,20,11,6,22,59,1381,litchi
12,17,18,7,20,61,1484,litchi
12,25,11,6,26,57,1710,litchi
18,24,9,6,27,56,1339,litchi
9,15,16,7,27,54,1742,litchi
14,23,8,6,29,64,1756,litchi
