N,P,K,pH,temp,humidity,rainfall,crop
97,36,92,6,21,49,543,tomato
98,45,95,7,29,43,731,tomato
91,36,94,6,24,64,643,tomato
98,41,83,7,27,47,597,tomato
90,41,87,7,29,70,777,tomato
94,42,88,6,27,42,593,tomato
98,46,96,7,24,53,765,tomato
99,36,89,6,25,67,617,tomato
94,41,94,7,27,52,604,tomato
97,40,86,6,22,57,691,tomato
94,43,98,7,30,55,643,tomato
97,43,82,6,26,49,781,tomato
92,30,87,7,21,58,641,tomato
93,40,91,7,22,51,643,tomato
91,46,99,7,23,59,758,tomato
100,31,89,7,27,46,676,tomato
98,42,83,7,22,70,681,tomato
99,47,85,7,21,61,590,tomato
97,37,94,6,26,49,552,tomato
95,32,89,7,24,41,574,tomato
91,48,86,7,26,62,551,tomato
92,32,94,7,29,48,600,tomato
99,35,93,7,25,59,541,tomato
97,35,82,7,26,54,750,tomato
90,47,93,6,24,48,755,tomato
190,62,84,6,18,83,594,potato
181,55,81,5,19,89,560,potato
182,65,98,6,22,88,490,potato
174,50,85,6,21,88,456,potato
176,53,90,5,20,88,513,potato
183,51,92,5,17,82,592,potato
172,51,90,6,17,88,514,potato
173,56,86,6,20,90,449,potato
176,53,80,5,18,82,575,potato
173,55,81,6,22,88,422,potato
175,63,83,5,22,80,404,potato
188,58,88,6,17,81,549,potato
170,67,89,5,16,83,563,potato
170,55,93,6,15,80,409,potato
177,53,81,5,19,84,458,potato
170,54,91,6,22,82,581,potato
180,70,100,6,16,90,552,potato
175,60,97,5,19,87,490,potato
172,54,80,5,15,90,561,potato
177,53,99,5,15,84,582,potato
173,69,100,6,15,80,430,potato
183,56,100,6,18,82,546,potato
188,65,86,6,19,81,494,potato
184,62,87,5,17,85,520,potato
177,67,94,6,16,81,584,potato
127,19,73,7,29,48,569,chillies
112,12,88,7,29,44,792,chillies
126,12,75,6,26,53,691,chillies
121,24,84,6,21,58,606,chillies
127,19,80,6,26,59,710,chillies
115,14,89,7,21,63,513,chillies
112,30,86,6,29,59,680,chillies
115,14,84,6,25,56,524,chillies
129,27,81,6,29,61,727,chillies
127,19,88,6,30,47,564,chillies
130,29,73,6,26,45,665,chillies
114,24,71,7,29,40,605,chillies
110,12,87,6,20,64,776,chillies
113,15,83,7,24,60,559,chillies
123,11,89,7,20,54,695,chillies
110,24,72,6,20,64,616,chillies
123,27,75,7,20,51,671,chillies
110,24,86,7,27,48,761,chillies
113,29,74,7,28,61,632,chillies
110,18,83,7,24,60,679,chillies
119,28,73,7,22,65,509,chillies
124,26,83,6,29,66,523,chillies
119,18,90,6,30,40,537,chillies
129,24,77,7,26,61,593,chillies
116,24,72,7,29,48,559,chillies
83,6,46,6,28,65,661,brinjal 
76,13,33,6,26,48,618,brinjal
83,19,33,7,30,57,700,brinjal
74,5,33,7,27,43,790,brinjal 
71,7,35,7,25,65,673,brinjal 
79,25,45,6,23,42,685,brinjal
87,22,39,6,22,52,594,brinjal
78,24,35,7,20,69,507,brinjal
79,5,45,6,23,44,534,brinjal 
85,13,33,7,22,44,790,brinjal
80,13,40,7,22,61,648,brinjal
76,9,31,6,25,44,600,brinjal
81,14,39,7,30,54,524,brinjal
87,23,45,7,22,56,790,brinjal
76,18,48,6,27,57,566,brinjal
82,6,38,7,25,67,672,brinjal
72,6,37,6,27,42,786,brinjal
71,25,39,7,22,42,675,brinjal
80,9,40,7,29,69,769,brinjal
74,20,48,6,26,65,762,brinjal
76,13,41,6,21,54,550,brinjal
89,22,42,7,24,45,665,brinjal
89,21,35,6,23,49,678,brinjal
77,10,30,7,28,67,765,brinjal
78,18,50,6,27,55,747,brinjal
27,92,42,6,13,44,308,radish 
34,101,45,7,10,48,304,radish
34,106,52,7,10,52,380,radish
24,109,47,6,18,50,336,radish
32,107,57,6,15,59,349,radish
22,104,44,7,16,40,372,radish
18,100,45,6,12,49,336,radish
28,95,58,6,10,42,389,radish 
30,98,59,7,11,50,354,radish 
31,102,41,6,15,52,315,radish
17,90,42,6,18,54,342,radish
18,94,50,7,10,51,372,radish
35,92,51,7,17,56,387,radish
31,97,50,7,18,46,302,radish
25,91,46,7,17,47,334,radish
35,103,60,6,10,60,379,radish
24,107,49,7,14,47,337,radish
29,100,44,7,13,51,329,radish
15,102,42,7,16,53,396,radish
34,93,48,7,10,48,304,radish
17,98,55,7,11,49,377,radish
34,95,41,7,16,43,324,radish
17,90,52,6,14,52,378,radish
17,97,44,6,12,47,399,radish
19,108,50,6,10,57,382,radish
6,9,10,7,14,55,321,turnips  
12,12,9,7,20,56,341,turnips 
10,13,12,6,18,59,393,turnips
8,14,7,6,19,50,328,turnips  
5,5,10,6,13,46,361,turnips  
10,12,7,6,10,58,322,turnips 
15,6,7,6,20,40,325,turnips  
5,10,9,6,10,48,341,turnips  
7,10,12,7,19,44,300,turnips 
13,5,8,6,14,57,358,turnips
10,8,12,6,13,53,325,turnips
13,11,12,6,18,48,398,turnips
7,8,12,6,17,60,370,turnips
6,10,11,7,14,43,368,turnips
